id,imagem,url
1,Abkhazia.png,img/bandeiras/Abkhazia.png
2,Afghanistan.png,img/bandeiras/Afghanistan.png
3,Albania.png,img/bandeiras/Albania.png
4,Alderney.png,img/bandeiras/Alderney.png
5,Alemanha.png,img/bandeiras/Alemanha.png
6,Algeria.png,img/bandeiras/Algeria.png
7,Ambazonia.png,img/bandeiras/Ambazonia.png
8,American Samoa.png,img/bandeiras/American Samoa.png
9,Andalusia.png,img/bandeiras/Andalusia.png
10,Andorra.png,img/bandeiras/Andorra.png
11,Angola.png,img/bandeiras/Angola.png
12,Anguilla.png,img/bandeiras/Anguilla.png
13,Antigua and Barbuda.png,img/bandeiras/Antigua and Barbuda.png
14,Arameans Suryoye.png,img/bandeiras/Arameans Suryoye.png
15,Argentina.png,img/bandeiras/Argentina.png
16,Armenia.png,img/bandeiras/Armenia.png
17,Artsakh.png,img/bandeiras/Artsakh.png
18,Aruba.png,img/bandeiras/Aruba.png
19,Asturias.png,img/bandeiras/Asturias.png
20,Australia.png,img/bandeiras/Australia.png
21,Austria.png,img/bandeiras/Austria.png
22,Aymara.png,img/bandeiras/Aymara.png
23,Azerbaijan.png,img/bandeiras/Azerbaijan.png
24,Bahamas.png,img/bandeiras/Bahamas.png
25,Bahrain.png,img/bandeiras/Bahrain.png
26,Bangladesh.png,img/bandeiras/Bangladesh.png
27,Barawa.png,img/bandeiras/Barawa.png
28,Barbados.png,img/bandeiras/Barbados.png
29,Belarus.png,img/bandeiras/Belarus.png
30,Belize.png,img/bandeiras/Belize.png
31,Benin.png,img/bandeiras/Benin.png
32,Bermuda.png,img/bandeiras/Bermuda.png
33,Bhutan.png,img/bandeiras/Bhutan.png
34,Biafra.png,img/bandeiras/Biafra.png
35,Bolivia.png,img/bandeiras/Bolivia.png
36,Bonaire.png,img/bandeiras/Bonaire.png
37,Bosnia and Herzegovina.png,img/bandeiras/Bosnia and Herzegovina.png
38,Botswana.png,img/bandeiras/Botswana.png
39,Brasil.png,img/bandeiras/Brasil.png
40,British Virgin Islands.png,img/bandeiras/British Virgin Islands.png
41,Brittany.png,img/bandeiras/Brittany.png
42,Brunei.png,img/bandeiras/Brunei.png
43,Bulgaria.png,img/bandeiras/Bulgaria.png
44,Burkina Faso.png,img/bandeiras/Burkina Faso.png
45,Burma.png,img/bandeiras/Burma.png
46,Burundi.png,img/bandeiras/Burundi.png
47,Bélgica.png,img/bandeiras/Bélgica.png
48,Cambodia.png,img/bandeiras/Cambodia.png
49,Cameroon.png,img/bandeiras/Cameroon.png
50,Canadian.png,img/bandeiras/Canadian.png
51,Canary Islands.png,img/bandeiras/Canary Islands.png
52,Cape Verde.png,img/bandeiras/Cape Verde.png
53,Cascadia.png,img/bandeiras/Cascadia.png
54,Catalunha.png,img/bandeiras/Catalunha.png
55,Cayman Islands.png,img/bandeiras/Cayman Islands.png
56,Central African Republic.png,img/bandeiras/Central African Republic.png
57,Chad.png,img/bandeiras/Chad.png
58,Chagos Islands.png,img/bandeiras/Chagos Islands.png
59,Chameria.png,img/bandeiras/Chameria.png
60,Chechnya.png,img/bandeiras/Chechnya.png
61,Chile.png,img/bandeiras/Chile.png
62,Cilento.png,img/bandeiras/Cilento.png
63,Colômbia.png,img/bandeiras/Colômbia.png
64,Comoros.png,img/bandeiras/Comoros.png
65,Congo.png,img/bandeiras/Congo.png
66,Cook Islands.png,img/bandeiras/Cook Islands.png
67,Corsica.png,img/bandeiras/Corsica.png
68,Costa Rica.png,img/bandeiras/Costa Rica.png
69,County of Nice.png,img/bandeiras/County of Nice.png
70,Crimea.png,img/bandeiras/Crimea.png
71,Croatia.png,img/bandeiras/Croatia.png
72,Cuba.png,img/bandeiras/Cuba.png
73,Curaçao.png,img/bandeiras/Curaçao.png
74,Cyprus.png,img/bandeiras/Cyprus.png
75,Czech Republic.png,img/bandeiras/Czech Republic.png
76,Czecholosvakia.png,img/bandeiras/Czecholosvakia.png
77,DR Congo.png,img/bandeiras/DR Congo.png
78,Darfur.png,img/bandeiras/Darfur.png
79,Dinamarca.png,img/bandeiras/Dinamarca.png
80,Djibouti.png,img/bandeiras/Djibouti.png
81,Domanica.png,img/bandeiras/Domanica.png
82,Dominican Republic.png,img/bandeiras/Dominican Republic.png
83,Donetsk PR.png,img/bandeiras/Donetsk PR.png
84,Délvidék.png,img/bandeiras/Délvidék.png
85,Ecuador.png,img/bandeiras/Ecuador.png
86,Egito.png,img/bandeiras/Egito.png
87,El Salvador.png,img/bandeiras/El Salvador.png
88,Elba Island.png,img/bandeiras/Elba Island.png
89,Ellan Vannin.png,img/bandeiras/Ellan Vannin.png
90,England.png,img/bandeiras/England.png
91,Equatorial Guinea.png,img/bandeiras/Equatorial Guinea.png
92,Eritrea.png,img/bandeiras/Eritrea.png
93,Espanha.png,img/bandeiras/Espanha.png
94,Estônia.png,img/bandeiras/Estônia.png
95,Eswatini.png,img/bandeiras/Eswatini.png
96,Ethiopia.png,img/bandeiras/Ethiopia.png
97,Falkland Islands.png,img/bandeiras/Falkland Islands.png
98,Faroe Islands.png,img/bandeiras/Faroe Islands.png
99,Felvidék.png,img/bandeiras/Felvidék.png
100,Fiji.png,img/bandeiras/Fiji.png
101,Filipinas.png,img/bandeiras/Filipinas.png
102,Finlandia.png,img/bandeiras/Finlandia.png
103,Franch Guiana.png,img/bandeiras/Franch Guiana.png
104,Franconia.png,img/bandeiras/Franconia.png
105,França.png,img/bandeiras/França.png
106,Frøya.png,img/bandeiras/Frøya.png
107,Gabon.png,img/bandeiras/Gabon.png
108,Galicia.png,img/bandeiras/Galicia.png
109,Georgia.png,img/bandeiras/Georgia.png
110,Ghana.png,img/bandeiras/Ghana.png
111,Gibraltar.png,img/bandeiras/Gibraltar.png
112,Gotland.png,img/bandeiras/Gotland.png
113,Gozo.png,img/bandeiras/Gozo.png
114,Greenland.png,img/bandeiras/Greenland.png
115,Grenada.png,img/bandeiras/Grenada.png
116,Grécia.png,img/bandeiras/Grécia.png
117,Guadeloupe.png,img/bandeiras/Guadeloupe.png
118,Guam.png,img/bandeiras/Guam.png
119,Guatemala.png,img/bandeiras/Guatemala.png
120,Guinea-Bissau.png,img/bandeiras/Guinea-Bissau.png
121,Guinea.png,img/bandeiras/Guinea.png
122,Găgăuzia.png,img/bandeiras/Găgăuzia.png
123,Haiti.png,img/bandeiras/Haiti.png
124,Hitra.png,img/bandeiras/Hitra.png
125,Hmong.png,img/bandeiras/Hmong.png
126,Honduras.png,img/bandeiras/Honduras.png
127,Iceland.png,img/bandeiras/Iceland.png
128,India.png,img/bandeiras/India.png
129,Indonésia.png,img/bandeiras/Indonésia.png
130,Iran.png,img/bandeiras/Iran.png
131,Iraq.png,img/bandeiras/Iraq.png
132,Iraqi Kurdistan.png,img/bandeiras/Iraqi Kurdistan.png
133,Isle of Man.png,img/bandeiras/Isle of Man.png
134,Isle of Wight.png,img/bandeiras/Isle of Wight.png
135,Israel.png,img/bandeiras/Israel.png
136,Itália.png,img/bandeiras/Itália.png
137,Ivory Coast.png,img/bandeiras/Ivory Coast.png
138,Jamaica.png,img/bandeiras/Jamaica.png
139,Japão.png,img/bandeiras/Japão.png
140,Jordan.png,img/bandeiras/Jordan.png
141,Kabylia.png,img/bandeiras/Kabylia.png
142,Kazakhstan.png,img/bandeiras/Kazakhstan.png
